01A,Afognak Lake Airport
AUH,Abu Dhabi International
AUI,Aua Island Airport
AUK,Alakanuk Airport
AUM,Austin Municipal
AUN,Auburn Municipal
AUO,Auburn University Regional
AUP,Aguan Papua N.G.
AUQ,Hiva Oa/Atuona
AUR,Aurillac Airport
AUS,Austin - Bergstrom International
AUW,Wausau Downtown
AUX,Araguaina Airport
AUY,Aneityum Airport
AUZ,Aurora Municipal
AVB,Aviano AB
AVI,Maximo Gomez
AVL,Asheville Regional
AVN,Caumont
AVO,Avon Park Executive
AVP,Wilkes Barre Scranton International
AVV,Avalon Airport
AVW,Marana Regional
AVX,Catalina
AWA,Lake Awasa
AWK,Wake Island Airfield
AWM,West Memphis Municipal
AWR,Awar Airport
AWX,Andrews County
AWZ,Ahwaz Airport
AXA,Clayton J. Lloyd International
AXB,Maxson Airfield
AXC,Aramac Airport
AXD,Dimokritos
AXM,El Eden
AXN,Chandler Field
AXP,Spring Point Airport
AXS,Altus/Quartz Mountain Regional
AXT,Akita Airport
AXU,Axum Airport
AXV,Neil Armstrong
AXX,Angel Fire
AYL,Anthony Lagoon Airport
AYP,Coronel FAP Alfredo Mendivil Duarte
AYQ,Ayers Rock Connellan
AYR,Ayr Airport
AYS,Waycross-Ware County
AYT,Antalya Airport
AYW,Ayawasi Airport
AZ1,Valle
AZ2,H. A. Clark Memorial Field
AZ3,Glendale Municipal
AZ4,Sheepy Hollow Ranch
AZ5,Springerville Municipal
AZA,Phoenix - Mesa Gateway
AZD,Yazd Shahid Sadooghi
AZG,Pablo L. Sidar
AZI,Al Bateen Executive
AZO,Kalamazoo/Battle Creek International
AZS,El Catey International
B19,Biddeford Municipal
B21,Sugarloaf Regional
BAA,Bialla Airport
BAB,Beale AFB
BAC,Barranca de Upia Airport
BAD,Barksdale AFB
BAE,Barcelonnette Airport
BAF,Barnes Municipal
BAG,Baguio Airport
BAH,Bahrain International
BAI,Buenos Aires Airport
BAK,Baku Metropolitan Area
BAL,Batman Airport
BAM,Battle Mountain Airport
BAO,Udorn AB
BAQ,Ernesto Cortissoz
BAR,Baker AAF
BAT,Chafei Amsei
BAU,Bauru-Arealva
BAV,Baotou Airport
BAX,Barnaul Airport
BAY,Baia Mare Airport
BAZ,Barcelos Airport
BBA,Balmaceda Airport
BBC,Bay City Municipal
BBF,N Eng Heliport
BBI,Bhubaneswar Airport
BBO,Berbera International
BBQ,Cocoa Point
BBR,Baillif
BBS,Blackbushe Airport
BBT,Berberati Airport
BBU,Aurel Vlaicu
BBX,Wings Field
BBY,Bambari Airport
BBZ,Zambezi Airport
BCA,Gustavo Rizo
BCB,Virginia Tech/Montgomery Executive
BCC,Bear Creek Airport
BCD,Bacolod Airport
BCE,Bryce Canyon Airport
BCH,Cakung
BCI,Barcaldine Airport
BCJ,Baca Grande
BCL,Barra del Colorado Airport
BCM,Bacau Airport
BCN,Barcelona Airport
BCS,Southern Seaplane
BCT,Boca Raton Public
BCY,Bulchi Airport
BDA,L. F. Wade International
BDB,Bundaberg Airport
BDE,Baudette International
BDG,Blanding Municipal
BDH,Bandar Lengeh Airport
BDI,Bird Island Airport
BDJ,Syamsudin Noor
BDK,Bondoukou/Soko
BDL,Bradley International
BDM,Bandirma Airport
BDN,Talhar
BDO,Husein Sastranegara
BDP,Chandragadhi
BDQ,Vadodara Airport
BDR,Igor I Sikorsky Memorial
BDS,Casale
BDU,Bardufoss Airport
BDY,Bandon State
BEB,Benbecula Airport
BEC,Beech Factory
BED,Laurence G Hanscom Field
BEF,Bluefields International
BEG,Beograd
BEH,Southwest Michigan Regional
BEI,Beica Airport
BEL,Val de Cans International
BEN,Benina International
BEO,Aeropelican
BER,Berlin Metropolitan Area
BES,Bretagne
BET,Bethel Airport
BEU,Bedourie North
BEV,Teyman
BEW,Beira Airport
BEY,Rafic Hariri International
BFB,Blue Fox Bay Airport
BFD,Bradford Regional
BFF,Western Neb. Regional/William B. Heilig Field
BFI,Boeing Field/King County International
BFK,Buckley AFB
BFL,Meadows Field
BFM,Mobile Downtown
BFN,Bloemfontein International
BFO,Buffalo Range Airport
BFP,Beaver County
BFQ,Bahia de Pinas Airport
BFR,Virgil I Grissom Municipal
BFS,Belfast Aldergrove
BFT,Beaufort County
BGA,Palonegro
BGB,Booue Airport
BGD,Hutchinson County
BGE,Decatur County Industrial Air Park
BGF,Bangui-M'Poko
BGI,Grantley Adams International
BGL,Baglung Airport
BGM,Greater Binghamton/Edwin A. Link Field
BGN,Bruggen Airport
BGO,Flesland
BGQ,Big Lake Airport
BGR,Bangor International
BGS,Big Spring McMahon-Wrinkle
BGT,Bagdad Airport
BGU,Bangassou Airport
BGW,Al Muthana
BGX,Comandante Gustavo Kraemer
BGY,Bergamo Orio Al Serio
BH1,Isa AB
BHB,Hancock County-Bar Harbor
BHD,Belfast City
BHE,Woodbourne
BHG,Araslaya
BHH,Bisha Airport
BHI,Comandante Espora
BHJ,Bhuj Airport
BHK,Bukhara Airport
BHL,Bahia de Los Angeles North
BHM,Birmingham-Shuttlesworth International
BHN,Beihan Airport
BHO,Raja Bhoj
BHQ,Broken Hill Airport
BHR,Bharatpur Airport
BHS,Bathurst Airport
BHT,Brighton Downs Airport
BHU,Bhavnagar Airport
BHV,Bahawalpur International
BHX,Birmingham Airport
BHY,Beihai Airport
BHZ,Belo Horizonte Metropolitan Area
BIA,Poretta
BIC,Big Creek Airport
BID,Block Island State
BIE,Beatrice Municipal
BIF,Biggs AAF
BIG,Allen AAF
BIH,Eastern Sierra Regional
BII,Bikini Atoll Airport
BIK,Manuhua
BIL,Billings Logan International
BIM,Bimini International
BIN,Bamyan Airport
BIO,Bilbao Airport
BIP,Bulimba Airport
BIQ,Anglet
BIR,Biratnagar Airport
BIS,Bismarck Municipal
BIV,Bria Airport
BIX,Keesler AFB
BJC,Rocky Mountain Metropolitan
BJI,Bemidji Regional
BJJ,Wayne County
BJL,Banjul International
BJM,Bujumbura International
BJR,Bahir Dar Airport
BJU,Bajura Airport
BJV,Imsik
BJX,Guanajuato International
BJZ,Talavera La Real
BKC,Buckland Airport
